Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
PN LP-BUT GCCD TP 2022-C4-L3,PN LP-BUT GCCD TP 2022-C4-L3-P1,Réaliser un chiffrage/devis,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L3,PN LP-BUT GCCD TP 2022-C4-L3-P2,Mener une démarche de management de la prévention sur chantier,<p>Mener une d&eacute;marche de management de la pr&eacute;vention sur chantier et &eacute;tablir le lien avec la performance de l&rsquo;entreprise</p>,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L3,PN LP-BUT GCCD TP 2022-C4-L3-P3,"Optimiser les moyens techniques, financiers et humains et actualiser le planning des travaux",,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L3,PN LP-BUT GCCD TP 2022-C4-L3-P4,Conduire une équipe et animer une réunion de chantier,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L3,PN LP-BUT GCCD TP 2022-C4-L3-P5,Effectuer les contrôles budgétaires et établir des situations de travaux,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L3,PN LP-BUT GCCD TP 2022-C4-L3-P6,Préparer la réception d’un ouvrage,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L1,PN LP-BUT GCCD TP 2022-C5-L1-P1,Caractériser l’environnement d'un ouvrage,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L1,PN LP-BUT GCCD TP 2022-C5-L1-P2,Identifier et caractériser les principaux matériaux et équipements du Génie Civil,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L1,PN LP-BUT GCCD TP 2022-C5-L1-P3,"Collecter, organiser et analyser des données",,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L2,PN LP-BUT GCCD TP 2022-C5-L2-P1,"Réaliser un diagnostic fonctionnel, technique et structurel d’un ouvrage","<p>R&eacute;aliser un diagnostic fonctionnel, technique et structurel d&rsquo;un ouvrage &agrave; toutes les &eacute;tapes de sa vie</p>",,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L2,PN LP-BUT GCCD TP 2022-C5-L2-P2,Repérer les mécanismes de dégradation d’un ouvrage existant ou en projet,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L2,PN LP-BUT GCCD TP 2022-C5-L2-P3,Établir un suivi des coûts d’exploitation et de la performance environnementale d’un ouvrage,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L2,PN LP-BUT GCCD TP 2022-C5-L2-P4,Analyser les différentes phases de déconstruction de tout ou partie d’un ouvrage,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L3,PN LP-BUT GCCD TP 2022-C5-L3-P1,Exploiter un Programme d’Exploitation-Maintenance,<p>Exploiter un Programme d&rsquo;Exploitation-Maintenance en respectant un plan strat&eacute;gique int&eacute;grant le co&ucirc;t global</p>,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L3,PN LP-BUT GCCD TP 2022-C5-L3-P2,Prescrire les essais nécessaires en fonction d'un cahier des charges,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L3,PN LP-BUT GCCD TP 2022-C5-L3-P3,Analyser les résultats d’un Appel d’offre,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5-L3,PN LP-BUT GCCD TP 2022-C5-L3-P4,S’insérer dans une démarche BIM d’exploitation et de maintenance,,,,,,,,,,,
