Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
PN LP-BUT MSCD 2022-C3-L2,PN LP-BUT MSCD 2022-C3-L2-P1,Adopter une démarche qualité,,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L2,PN LP-BUT MSCD 2022-C3-L2-P2,Contractualiser avec des prestataires internes ou externes ou avec des clients,,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L2,PN LP-BUT MSCD 2022-C3-L2-P3,Coordonner les différentes activités de la chaîne logistique et transport,,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L2,PN LP-BUT MSCD 2022-C3-L2-P4,"Intégrer la prévention, le management du risque et le traitement des litiges",,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L2,PN LP-BUT MSCD 2022-C3-L2-P5,Élaborer et utiliser des outils de gestion,,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L3,PN LP-BUT MSCD 2022-C3-L3-P1,Formaliser des processus,,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L3,PN LP-BUT MSCD 2022-C3-L3-P2,Construire des outils d'aide à la décision,,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L3,PN LP-BUT MSCD 2022-C3-L3-P3,Manager les équipes et accompagner le changement,,,,,,,,,,,
PN LP-BUT MSCD 2022-C3-L3,PN LP-BUT MSCD 2022-C3-L3-P4,Définir et mettre en oeuvre des plans d'amélioration,,,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L1,PN LP-BUT MSCD 2022-C4-L1-P1,"Analyser les démarches d'incitation et les contraintes (fiscalité environnementale, réglementation)","<p>Analyser les d&eacute;marches d'incitation et les contraintes (fiscalit&eacute; environnementale, r&eacute;glementation...)</p>",,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L1,PN LP-BUT MSCD 2022-C4-L1-P2,"Identifier les enjeux économiques, environnementaux et sociaux",,,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L1,PN LP-BUT MSCD 2022-C4-L1-P3,Effectuer une veille sur les solutions durables et innovantes,,,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L1,PN LP-BUT MSCD 2022-C4-L1-P4,"Appréhender des solutions durables (démarche RSE, plan de prévention des risques ...)",,,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L2,PN LP-BUT MSCD 2022-C4-L2-P1,Évaluer la fiabilité des solutions durables proposées et de leurs alternatives,,,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L2,PN LP-BUT MSCD 2022-C4-L2-P2,Mesurer les impacts des solutions éco-responsables mises en oeuvre,,,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L2,PN LP-BUT MSCD 2022-C4-L2-P3,Contribuer à l'élaboration d'indicateurs sociétaux et environnementaux,<p>Contribuer &agrave; l'&eacute;laboration d'indicateurs soci&eacute;taux et environnementaux et d'outils d'aide &agrave; la d&eacute;cision</p>,,,,,,,,,,
PN LP-BUT MSCD 2022-C4-L2,PN LP-BUT MSCD 2022-C4-L2-P4,Accompagner aux changements dans le cadre de projets éco-responsables,,,,,,,,,,,
