Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
PN LP-BUT TC BI 2022-C2-L1,PN LP-BUT TC BI 2022-C2-L1-P3,Concevoir des OAV efficaces,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L1,PN LP-BUT TC BI 2022-C2-L1-P4,Évaluer la performance commerciale au moyen d'indicateurs,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L1,PN LP-BUT TC BI 2022-C2-L1-P5,Recourir aux techniques adaptées à la démarche de prospection,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L1,PN LP-BUT TC BI 2022-C2-L1-P6,Recourir aux codes d'expression spécifiques et professionnels,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L2,PN LP-BUT TC BI 2022-C2-L2-P1,Convaincre en exprimant avec empathie l’offre en termes d’avantages personnalisés,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L2,PN LP-BUT TC BI 2022-C2-L2-P2,"Négocier le prix : défendre, valoriser l'offre en percevant les stratégies d’achat",,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L2,PN LP-BUT TC BI 2022-C2-L2-P3,Maîtriser les éléments juridiques et comptables de l'offre,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L2,PN LP-BUT TC BI 2022-C2-L2-P4,"Utiliser les OAV (feuille de calcul, supports d’argumentation...) à bon escient pour convaincre",,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L2,PN LP-BUT TC BI 2022-C2-L2-P5,Organiser le suivi de ses résultats pour gagner en performance au sein de l'équipe commerciale,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L2,PN LP-BUT TC BI 2022-C2-L2-P6,Prendre en compte les enjeux de la fonction achat pour la performance économique de l’entreprise,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L3,PN LP-BUT TC BI 2022-C2-L3-P1,Identifier les techniques d’achat employées par un acheteur professionnel,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L3,PN LP-BUT TC BI 2022-C2-L3-P2,Élaborer des outils de gestion et de calcul efficaces pour la vente complexe,"<p>&Eacute;laborer des outils de gestion et de calcul efficaces (facture, &eacute;ch&eacute;ancier,devis) pour la vente complexe</p>",,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L3,PN LP-BUT TC BI 2022-C2-L3-P3,Maîtriser les codes propres à l'univers spécifique rencontré,"<p>Ma&icirc;triser les codes propres &agrave; l'univers sp&eacute;cifique rencontr&eacute; : achat, finance, industrie, international, etc</p>",,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L1,PN LP-BUT TC BI 2022-C3-L1-P1,Identifier les cibles et objectifs de communication en tenant compte de la cohérence du mix,,,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L1,PN LP-BUT TC BI 2022-C3-L1-P2,Analyser de manière pertinente les moyens de communication commerciale,"<p>Analyser de mani&egrave;re pertinente les moyens de communication commerciale (m&eacute;dias, hors m&eacute;dias, m&eacute;dias sociaux)</p>",,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L1,PN LP-BUT TC BI 2022-C3-L1-P3,"Élaborer des supports simples (Imprimé Sans Adresse, affiches, dossier de sponsoring, ...)",,,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L1,PN LP-BUT TC BI 2022-C3-L1-P4,"Analyser les indicateurs post campagne (impact, efficacité)",,,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L2,PN LP-BUT TC BI 2022-C3-L2-P1,Élaborer une stratégie de communication adaptée au brief agence,,,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L2,PN LP-BUT TC BI 2022-C3-L2-P2,Établir une stratégie de moyens en utilisant les indicateurs de choix des supports,,,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L2,PN LP-BUT TC BI 2022-C3-L2-P3,Proposer un plan de com 360° en élaborant les supports et en veillant à leur efficacité,,,,,,,,,,,
PN LP-BUT TC BI 2022-C3-L2,PN LP-BUT TC BI 2022-C3-L2-P4,Mettre en œuvre une stratégie digitale,"<p>Mettre en &oelig;uvre une strat&eacute;gie digitale : blog, r&eacute;seaux sociaux, influenceurs, en mesurant leurs performances et en veillant &agrave; l'e-reputation</p>",,,,,,,,,,
PN LP-BUT TC BI 2022-C4-L1,PN LP-BUT TC BI 2022-C4-L1-P1,Réaliser de manière structurée un diagnostic export/import à l'aide d'outils stratégiques,<p>R&eacute;aliser de mani&egrave;re structur&eacute;e un diagnostic export/import &agrave; l'aide d'outils strat&eacute;giques (collecte des informations en interne)</p>,,,,,,,,,,
PN LP-BUT TC BI 2022-C4-L1,PN LP-BUT TC BI 2022-C4-L1-P2,Collecter les informations de l'environnement international,"<p>Collecter les informations de l'environnement international (identifier les sources pertinentes de donn&eacute;es, identifier les outils de collecte de donn&eacute;es, s'assurer de la fiabilit&eacute; des&nbsp;donn&eacute;es)</p>",,,,,,,,,,
PN LP-BUT TC BI 2022-C4-L1,PN LP-BUT TC BI 2022-C4-L1-P3,"Sélectionner les marchés opportuns, à l'export et à l'import à l'aide d'indicateurs",,,,,,,,,,,
PN LP-BUT TC BI 2022-C4-L2,PN LP-BUT TC BI 2022-C4-L2-P1,Évaluer le diagnostic export/import et faire des préconisations,,,,,,,,,,,
PN LP-BUT TC BI 2022-C4-L2,PN LP-BUT TC BI 2022-C4-L2-P2,Évaluer les marchés internationaux en prenant en compte le contexte géo-éco-politique,"<p>Evaluer les march&eacute;s internationaux en prenant en compte le contexte g&eacute;o-&eacute;co-politique, les particularit&eacute;s culturelles et les enjeux &eacute;thiques</p>",,,,,,,,,,
PN LP-BUT TC BI 2022-C4-L2,PN LP-BUT TC BI 2022-C4-L2-P3,"Proposer le mode d'entrée (filiale, joint venture, etc.) le plus adéquate",,,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L1,PN LP-BUT TC BI 2022-C5-L1-P1,Gérer les processus de vente et d'achat à l'international,<p>G&eacute;rer les processus de vente et d'achat &agrave; l'international ; identifier et s&eacute;lectionner les fournisseurs</p>,,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L1,PN LP-BUT TC BI 2022-C5-L1-P2,Suivre les opérations logistiques à l'international,<p>Suivre les op&eacute;rations logistiques &agrave; l'international gr&acirc;ce &agrave; l'appr&eacute;hension des enjeux de la cha&icirc;ne logistique</p>,,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L1,PN LP-BUT TC BI 2022-C5-L1-P3,"Sélectionner le mode de transport, l'incoterm, l'assurance et les modalités de paiement","<p>S&eacute;lectionner le mode de transport, l'incoterm, l'assurance et les modalit&eacute;s de paiement dans une logique d'optimisation des co&ucirc;ts</p>",,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L1,PN LP-BUT TC BI 2022-C5-L1-P4,Positionner l'offre en fonction des spécificités culturelles identifiées sur les marchés ciblés,<p>Positionner l'offre en fonction des sp&eacute;cificit&eacute;s culturelles identifi&eacute;es sur le(s) march&eacute;(s) cibl&eacute;(s)</p>,,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L2,PN LP-BUT TC BI 2022-C5-L2-P1,Mobiliser ses connaissances en processus de vente et d'achat dans des situations interculturelles,,,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L2,PN LP-BUT TC BI 2022-C5-L2-P2,Optimiser la chaîne logistique à l'international intégrant les enjeux environnementaux et éthiques,<p>Optimiser la cha&icirc;ne logistique &agrave; l'international en int&eacute;grant les enjeux environnementaux et &eacute;thiques</p>,,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L2,PN LP-BUT TC BI 2022-C5-L2-P3,Gérer l'administration des ventes/achats à l'international,<p>G&eacute;rer l'administration des ventes/achats &agrave; l'international notamment gr&acirc;ce &agrave; l'&eacute;valuation des modalit&eacute;s de financement de l'op&eacute;ration d'import ou d'export</p>,,,,,,,,,,
PN LP-BUT TC BI 2022-C5-L2,PN LP-BUT TC BI 2022-C5-L2-P4,Proposer l'offre marketing adaptée au(x) marché(s) ciblé(s),,,,,,,,,,,
